k, accuracy, error
5,0.638888888889,0.361111111111
6,0.672222222222,0.327777777778
7,0.7,0.3
8,0.661111111111,0.338888888889
9,0.672222222222,0.327777777778
10,0.672222222222,0.327777777778
11,0.65,0.35
12,0.672222222222,0.327777777778
13,0.711111111111,0.288888888889
14,0.705555555556,0.294444444444
15,0.711111111111,0.288888888889
16,0.722222222222,0.277777777778
17,0.716666666667,0.283333333333
18,0.727777777778,0.272222222222
19,0.666666666667,0.333333333333
20,0.672222222222,0.327777777778
21,0.666666666667,0.333333333333
22,0.655555555556,0.344444444444
23,0.65,0.35
24,0.633333333333,0.366666666667
